labs,      9.2857,      1.3565,      0.6617,      0.0000,      4.0868,      0.8678,      3.6770
labs,      2.7837,      0.3955,      0.6617,      0.0000,      1.5389,      0.3335,      1.1203
labs,      2.9585,      0.0000,      0.0000,      0.0000,      0.8363,      0.0000,      0.7842
labs,      2.9229,      0.0014,      0.0035,      0.8723,      1.5409,      0.0074,      0.8208
labs,      2.9229,      0.5325,      0.6617,      0.0000,      1.5378,      0.3335,      1.1466
labs,      2.9229,      0.5325,      0.6617,      0.0000,      1.5378,      0.3335,      1.1466
labs,      2.9229,      0.4849,      0.6057,      0.0000,      1.4786,      0.3052,      1.1158
labs,      3.0114,      0.1007,      0.0523,      0.0000,      0.8913,      0.0264,      0.8234
labs,      4.6098,      1.2722,      0.6616,      0.0051,      1.9765,      0.4297,      1.6917
labs,      4.8213,      1.2875,      0.6617,      0.0005,      2.0663,      0.4470,      1.7784
labs,      4.8891,      1.2247,      0.6220,      0.0004,      1.9626,      0.3995,      1.7817
labs,      3.0114,      0.1007,      0.0523,      0.0000,      0.8913,      0.0264,      0.8234
labs,      3.9186,      1.1863,      0.6617,      0.0090,      1.6482,      0.3671,      1.3754
labs,      3.7358,      1.2397,      0.6614,      0.0012,      1.5672,      0.3439,      1.3119
labs,      5.2886,      1.3077,      0.6617,      0.0000,      2.2780,      0.4901,      1.9804
labs,      3.0114,      0.1007,      0.0523,      0.0000,      0.8913,      0.0264,      0.8234
labs,      3.6460,      1.2288,      0.6617,      0.0000,      1.5185,      0.3341,      1.2695
labs,      6.4921,      1.2729,      0.6591,      0.0046,      2.8082,      0.6071,      2.4656
labs,      8.2849,      1.3461,      0.6617,      0.0000,      3.6373,      0.7738,      3.2543
pyldpe,      4.9773,      0.8751,      0.6617,      0.0000,      1.5490,      0.3335,      1.4166
pyldpe,      2.7837,      0.3955,      0.6617,      0.0000,      1.5389,      0.3335,      1.1203
pyldpe,      2.9585,      0.0000,      0.0000,      0.0000,      0.8363,      0.0000,      0.7842
pyldpe,      2.9229,      0.0012,      0.0035,      0.8748,      1.5456,      0.0069,      0.8203
pyldpe,      2.9229,      0.2633,      0.4257,      0.0000,      1.2711,      0.2153,      0.9975
pyldpe,      2.9229,      0.3974,      0.6429,      0.0000,      1.4992,      0.3249,      1.1135
pyldpe,      2.9229,      0.4241,      0.6617,      0.0000,      1.5396,      0.3335,      1.1391
pyldpe,      3.1307,      0.0628,      0.0838,      0.0000,      0.9109,      0.0503,      0.8234
pyldpe,      3.5247,      0.3054,      0.4026,      0.0000,      1.1586,      0.2077,      0.9975
pyldpe,      3.5247,      0.4696,      0.5797,      0.0000,      1.4551,      0.2984,      1.1716
pyldpe,      3.5247,      0.5477,      0.6572,      0.0000,      1.5376,      0.3313,      1.2180
pyldpe,      3.0938,      0.0617,      0.0843,      0.0000,      0.8937,      0.0440,      0.8234
pyldpe,      3.6189,      0.3103,      0.4699,      0.0000,      1.1865,      0.2435,      0.9975
pyldpe,      4.1266,      0.5212,      0.6478,      0.0000,      1.3550,      0.3372,      1.1591
pyldpe,      4.1266,      0.6779,      0.6559,      0.0000,      1.5389,      0.3306,      1.2985
pyldpe,      3.1305,      0.0628,      0.0838,      0.0000,      0.9108,      0.0502,      0.8234
pyldpe,      3.7415,      0.3271,      0.4789,      0.0000,      1.1743,      0.2575,      0.9975
pyldpe,      4.2555,      0.5555,      0.6617,      0.0000,      1.3510,      0.3421,      1.1716
pyldpe,      4.7284,      0.7238,      0.6434,      0.0014,      1.4916,      0.3400,      1.3184
pyhdpe,     17.5033,      0.6521,      0.6617,      0.0000,      5.9847,      1.2535,      5.8295
pyhdpe,      2.7837,      0.3955,      0.6617,      0.0000,      1.5389,      0.3335,      1.1203
pyhdpe,      2.9585,      0.0000,      0.0000,      0.0000,      0.8363,      0.0000,      0.7842
pyhdpe,      2.9229,      0.0011,      0.0039,      0.8755,      1.5479,      0.0096,      0.8228
pyhdpe,      2.9229,      0.3868,      0.6425,      0.0000,      1.5457,      0.3347,      1.1435
pyhdpe,      2.9229,      0.3942,      0.6579,      0.0004,      1.6522,      0.3586,      1.1862
pyhdpe,      2.9229,      0.3920,      0.6498,      0.0000,      1.5965,      0.3418,      1.1719
pyhdpe,      3.1305,      0.0624,      0.0834,      0.0022,      0.9114,      0.0502,      0.8234
pyhdpe,      7.4350,      0.5169,      0.6566,      0.0000,      2.4799,      0.5748,      2.2822
pyhdpe,      7.4913,      0.4874,      0.6617,      0.0197,      3.0242,      0.6750,      2.5906
pyhdpe,      7.4043,      0.5327,      0.6611,      0.0001,      2.4706,      0.5773,      2.2783
pyhdpe,      3.1300,      0.0612,      0.0815,      0.0002,      0.9103,      0.0492,      0.8234
pyhdpe,      7.7264,      0.5374,      0.6617,      0.0000,      2.5806,      0.5987,      2.3910
pyhdpe,     11.9821,      0.5578,      0.6617,      0.0010,      4.0448,      0.9398,      3.8089
pyhdpe,     10.8119,      0.5815,      0.6617,      0.0006,      3.6682,      0.8141,      3.4657
pyhdpe,      3.0940,      0.0613,      0.0874,      0.0000,      0.8942,      0.0456,      0.8234
pyhdpe,      8.0058,      0.4880,      0.6503,      0.0000,      2.6643,      0.6697,      2.3949
pyhdpe,     12.1942,      0.6067,      0.6617,      0.0000,      4.1362,      0.8976,      3.9637
pyhdpe,     14.0940,      0.6068,      0.6516,      0.0003,      4.8442,      1.0323,      4.6537
pypp,      6.5158,      0.8053,      0.6617,      0.0000,      2.5780,      0.5903,      1.9561
pypp,      2.7837,      0.3955,      0.6617,      0.0000,      1.5389,      0.3335,      1.1203
pypp,      2.9585,      0.0000,      0.0000,      0.0000,      0.8363,      0.0000,      0.7842
pypp,      2.9229,      0.0012,      0.0043,      0.8813,      1.5705,      0.0087,      0.8232
pypp,      2.9229,      0.4202,      0.6617,      0.0000,      1.5894,      0.3456,      1.1563
pypp,      2.9229,      0.4230,      0.6617,      0.0000,      1.5777,      0.3431,      1.1515
pypp,      2.9229,      0.3927,      0.6607,      0.0000,      1.6825,      0.3644,      1.1974
pypp,      3.1307,      0.0628,      0.0838,      0.0000,      0.9109,      0.0503,      0.8234
pypp,      4.0119,      0.4844,      0.6539,      0.0001,      1.4479,      0.3654,      1.1684
pypp,      4.0119,      0.5787,      0.6617,      0.0000,      1.8905,      0.4209,      1.4051
pypp,      4.0119,      0.5636,      0.6579,      0.0000,      1.8967,      0.4248,      1.3934
pypp,      3.0925,      0.0595,      0.0848,      0.0000,      0.8929,      0.0442,      0.8234
pypp,      4.2407,      0.5044,      0.6617,      0.0000,      1.4111,      0.3714,      1.1684
pypp,      5.1010,      0.6612,      0.6617,      0.0005,      1.9365,      0.4643,      1.5133
pypp,      5.1010,      0.6684,      0.6373,      0.0000,      2.2141,      0.4937,      1.6341
pypp,      3.1334,      0.0624,      0.0827,      0.0000,      0.9119,      0.0502,      0.8234
pypp,      4.2864,      0.4679,      0.6156,      0.0000,      1.4313,      0.3632,      1.1684
pypp,      5.3641,      0.6438,      0.6237,      0.0000,      1.9389,      0.4647,      1.5133
pypp,      6.1900,      0.7816,      0.6617,      0.0000,      2.4398,      0.5623,      1.8583
claypla,      4.9715,      0.5586,      0.6617,      0.1562,      1.8958,      0.5503,      1.3931
claypla,      2.7837,      0.3955,      0.6617,      0.0000,      1.5389,      0.3335,      1.1203
claypla,      2.9585,      0.0000,      0.0000,      0.0000,      0.8363,      0.0000,      0.7842
claypla,      2.9229,      0.0030,      0.0044,      0.8900,      1.5997,      0.0085,      0.8230
claypla,      2.9229,      0.2545,      0.4108,      0.0000,      1.2562,      0.2078,      0.9901
claypla,      2.9229,      0.4129,      0.6577,      0.0271,      1.6011,      0.3548,      1.1536
claypla,      2.9229,      0.4174,      0.6617,      0.0284,      1.6100,      0.3584,      1.1580
claypla,      3.1412,      0.0584,      0.0754,      0.0000,      0.9143,      0.0483,      0.8234
claypla,      3.5229,      0.3035,      0.4565,      0.0000,      1.1678,      0.2370,      0.9901
claypla,      3.5229,      0.4452,      0.6617,      0.0412,      1.5271,      0.3763,      1.1568
