      3.7074,      0.5596,      2.6864,      2.6864,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      2.3675,      0.0000,      0.0846,      0.8429,     12.2276
      0.9666,      0.4706,      0.7147,      0.0000,      0.7147,      0.0000,      0.0000,      0.0000,      0.0000,      0.6299,      0.0000,      0.0000,      0.0000,      1.7505
      0.7842,      0.0000,      0.7147,      0.0000,      0.7147,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      2.9585
      0.8000,      0.3928,      0.7147,      0.0000,      0.7147,      0.0000,      0.0000,      0.0000,      0.0000,      0.5262,      0.0000,      0.0000,      0.0000,      1.7800
      0.8000,      0.0670,      0.7147,      0.0000,      0.7147,      0.0000,      0.0000,      0.0000,      0.0000,      0.0813,      0.0000,      0.0027,      0.0273,      3.0068
      0.8500,      0.4179,      0.7147,      0.0000,      0.7147,      0.0000,      0.0000,      0.0000,      0.0000,      0.5597,      0.0000,      0.0000,      0.0000,      1.7800
      0.8500,      0.2797,      0.7147,      0.0000,      0.7147,      0.0000,      0.0000,      0.0000,      0.0000,      0.3388,      0.0000,      0.0114,      0.1139,      3.1597
      0.9654,      0.4715,      0.7147,      0.0000,      0.7147,      0.0000,      0.0000,      0.0000,      0.0000,      0.6299,      0.0000,      0.0004,      0.0040,      1.7800
      2.0267,      0.5474,      1.5033,      1.0744,      0.4289,      0.0000,      0.0000,      0.0000,      0.0000,      1.3248,      0.0000,      0.0466,      0.4642,      6.8900
      2.2500,      0.5499,      1.6605,      1.2886,      0.3719,      0.0000,      0.0000,      0.0000,      0.0000,      1.4633,      0.0000,      0.0516,      0.5145,      7.5992
      2.2500,      0.5499,      1.6605,      1.2886,      0.3719,      0.0000,      0.0000,      0.0000,      0.0000,      1.4633,      0.0000,      0.0516,      0.5145,      7.5992
      2.2500,      0.5499,      1.6605,      1.2886,      0.3719,      0.0000,      0.0000,      0.0000,      0.0000,      1.4633,      0.0000,      0.0516,      0.5145,      7.5992
      0.9654,      0.4715,      0.7147,      0.0000,      0.7147,      0.0000,      0.0000,      0.0000,      0.0000,      0.6299,      0.0000,      0.0004,      0.0040,      1.7800
      2.0267,      0.5474,      1.5033,      1.0744,      0.4289,      0.0000,      0.0000,      0.0000,      0.0000,      1.3248,      0.0000,      0.0466,      0.4642,      6.8900
      2.5630,      0.5528,      1.8808,      1.5888,      0.2920,      0.0000,      0.0000,      0.0000,      0.0000,      1.6576,      0.0000,      0.0587,      0.5851,      8.5933
      2.7167,      0.5540,      1.9890,      1.7362,      0.2528,      0.0000,      0.0000,      0.0000,      0.0000,      1.7529,      0.0000,      0.0622,      0.6197,      9.0812
      2.7167,      0.5540,      1.9890,      1.7362,      0.2528,      0.0000,      0.0000,      0.0000,      0.0000,      1.7529,      0.0000,      0.0622,      0.6197,      9.0812
      0.9654,      0.4715,      0.7147,      0.0000,      0.7147,      0.0000,      0.0000,      0.0000,      0.0000,      0.6299,      0.0000,      0.0004,      0.0040,      1.7800
      2.0267,      0.5474,      1.5033,      1.0744,      0.4289,      0.0000,      0.0000,      0.0000,      0.0000,      1.3248,      0.0000,      0.0466,      0.4642,      6.8900
      2.5630,      0.5528,      1.8808,      1.5888,      0.2920,      0.0000,      0.0000,      0.0000,      0.0000,      1.6576,      0.0000,      0.0587,      0.5851,      8.5933
      2.8312,      0.5548,      2.0696,      1.8460,      0.2236,      0.0000,      0.0000,      0.0000,      0.0000,      1.8239,      0.0000,      0.0648,      0.6455,      9.4450
      2.9500,      0.5556,      2.1532,      1.9599,      0.1933,      0.0000,      0.0000,      0.0000,      0.0000,      1.8976,      0.0000,      0.0674,      0.6722,      9.8222
      0.9654,      0.4715,      0.7147,      0.0000,      0.7147,      0.0000,      0.0000,      0.0000,      0.0000,      0.6299,      0.0000,      0.0004,      0.0040,      1.7800
