1,0.3960,0.0002,0.8358,4.1550,0.0000,0.0000,0.0000,4.1550,0.0000,0.0000,0.0000,0.0032,0.0038,0.0000,0.0000,0.0000,0.0000,0.0000,0.0049,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.9201,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000
2,3.4558,0.4739,9.5295,2.6864,2.6864,0.0000,0.0000,0.0000,0.0000,0.0000,1.7776,0.0000,0.0635,0.6329,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.7127,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000
3,0.4126,0.0000,0.6723,4.1550,0.0000,0.0000,0.0000,4.1550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.9110,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,1.0000
5,0.6598,0.1000,1.9229,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.1101,0.0073,0.0087,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0374,0.0000,0.0000,1.0239,0.3852,0.0000,0.0000,0.7267,0.2733,0.0000,0.0000
6,0.6458,0.1000,2.9413,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.0000,0.2319,0.2780,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8601,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
7,0.6458,0.1000,2.9413,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.0000,0.2319,0.2780,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8601,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
8,0.6458,0.1000,2.9413,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.0000,0.2319,0.2780,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8601,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
9,0.6458,0.1000,2.9413,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.0000,0.2319,0.2780,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8601,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
10,0.6459,0.1000,2.9277,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.0020,0.2277,0.2731,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.8519,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
12,0.6768,0.1500,1.9229,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.1688,0.0061,0.0088,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0485,0.0000,0.0000,0.0020,1.5275,0.0000,0.0000,0.0013,0.9987,0.0000,0.0000
13,0.6657,0.1500,3.1357,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.0304,0.2863,0.3448,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0899,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
14,0.6643,0.1500,3.3368,0.7148,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.0000,0.3479,0.4170,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.2100,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
15,0.6663,0.1500,3.0533,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.0428,0.2610,0.3152,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0407,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
16,0.6643,0.1500,3.3367,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.0000,0.3479,0.4170,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.2099,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
17,0.6643,0.1500,3.3367,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.0000,0.3479,0.4170,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.2099,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
19,0.6989,0.2000,1.9229,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.2291,0.0036,0.0090,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.0000,0.0021,1.6503,0.0000,0.0000,0.0013,0.9987,0.0000,0.0000
20,0.6874,0.2000,3.1357,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.0909,0.2809,0.3418,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.2052,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
21,0.6827,0.2000,3.7321,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.0000,0.4639,0.5560,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5598,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
