0.7876,0.0008,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0004,0.0000,0.0017,0.0012,2.9730
0.7876,0.0008,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0004,0.0000,0.0017,0.0012,2.9730
0.7876,0.0008,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0004,0.0000,0.0017,0.0012,2.9730
0.7876,0.0008,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0004,0.0000,0.0017,0.0012,2.9730
0.7876,0.0008,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0004,0.0000,0.0017,0.0012,2.9730
0.7876,0.0008,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0004,0.0000,0.0017,0.0012,2.9730
0.7881,0.0009,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0005,0.0000,0.0020,0.0015,2.9766
1.5902,0.1348,0.8235,0.1482,0.6753,0.0000,0.0000,0.0000,0.0763,0.0009,0.3398,0.2604,6.4678
1.5902,0.1348,0.8235,0.1482,0.6753,0.0000,0.0000,0.0000,0.0763,0.0009,0.3398,0.2604,6.4678
1.5902,0.1348,0.8235,0.1482,0.6753,0.0000,0.0000,0.0000,0.0763,0.0009,0.3398,0.2604,6.4678
1.5902,0.1348,0.8235,0.1482,0.6753,0.0000,0.0000,0.0000,0.0763,0.0009,0.3398,0.2604,6.4678
1.5902,0.1348,0.8235,0.1482,0.6753,0.0000,0.0000,0.0000,0.0763,0.0009,0.3398,0.2604,6.4678
0.7881,0.0009,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0005,0.0000,0.0020,0.0015,2.9766
1.7569,0.1355,0.8998,0.2521,0.6476,0.0000,0.0000,0.0000,0.0834,0.0010,0.3713,0.2847,7.0445
2.6003,0.1380,1.2858,0.7781,0.5077,0.0000,0.0000,0.0000,0.1191,0.0014,0.5307,0.4076,9.9626
2.6003,0.1380,1.2858,0.7781,0.5077,0.0000,0.0000,0.0000,0.1191,0.0014,0.5307,0.4076,9.9626
2.6003,0.1380,1.2858,0.7781,0.5077,0.0000,0.0000,0.0000,0.1191,0.0014,0.5307,0.4076,9.9626
2.6003,0.1380,1.2858,0.7781,0.5077,0.0000,0.0000,0.0000,0.1191,0.0014,0.5307,0.4076,9.9626
0.7881,0.0009,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0005,0.0000,0.0020,0.0015,2.9766
1.7569,0.1355,0.8998,0.2521,0.6476,0.0000,0.0000,0.0000,0.0834,0.0010,0.3713,0.2847,7.0445
2.7257,0.1383,1.3432,0.8563,0.4869,0.0000,0.0000,0.0000,0.1244,0.0015,0.5544,0.4259,10.3964
3.6104,0.1396,1.7481,1.4080,0.3401,0.0000,0.0000,0.0000,0.1619,0.0020,0.7216,0.5548,13.4574
3.6104,0.1396,1.7481,1.4080,0.3401,0.0000,0.0000,0.0000,0.1619,0.0020,0.7216,0.5548,13.4574
3.6104,0.1396,1.7481,1.4080,0.3401,0.0000,0.0000,0.0000,0.1619,0.0020,0.7216,0.5548,13.4574
0.7881,0.0009,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0005,0.0000,0.0020,0.0015,2.9766
1.7569,0.1355,0.8998,0.2521,0.6476,0.0000,0.0000,0.0000,0.0834,0.0010,0.3713,0.2847,7.0445
2.7257,0.1383,1.3432,0.8563,0.4869,0.0000,0.0000,0.0000,0.1244,0.0015,0.5544,0.4259,10.3964
3.6944,0.1397,1.7866,1.4604,0.3262,0.0000,0.0000,0.0000,0.1655,0.0020,0.7375,0.5671,13.7480
4.6205,0.1406,2.2105,2.0380,0.1725,0.0000,0.0000,0.0000,0.2048,0.0025,0.9125,0.7020,16.9522
4.6205,0.1406,2.2105,2.0380,0.1725,0.0000,0.0000,0.0000,0.2048,0.0025,0.9125,0.7020,16.9522
0.7881,0.0009,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0005,0.0000,0.0020,0.0015,2.9766
1.7569,0.1355,0.8998,0.2521,0.6476,0.0000,0.0000,0.0000,0.0834,0.0010,0.3713,0.2847,7.0445
2.7257,0.1383,1.3432,0.8563,0.4869,0.0000,0.0000,0.0000,0.1244,0.0015,0.5544,0.4259,10.3964
3.6944,0.1397,1.7866,1.4604,0.3262,0.0000,0.0000,0.0000,0.1655,0.0020,0.7375,0.5671,13.7480
4.6632,0.1406,2.2300,2.0646,0.1654,0.0000,0.0000,0.0000,0.2066,0.0025,0.9206,0.7082,17.0999
5.6306,0.1412,2.6728,2.6679,0.0049,0.0000,0.0000,0.0000,0.2476,0.0030,1.1034,0.8492,20.4471
