Cost,DoC,GWP,TotPlastics(kg),HDPE,LDPE,PP,PLA,PHA,Paper,Reprocess,Pyrolysis,Landfill,Incineration,LABS from chemical recycling of PE,C4 Gas Mixture Pyrolysis,Light Liquid Fuel Pyrolysis,Clay reycled PLA,Lipase based PLA recycling,Lactic acid from acid hydrolysis,Me-Lactate from alcoholysis,Clinker,Lumber
1.1203,0.3956,2.7840,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.4729,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4190,0.0000,0.0000,0.0000,0.1608
1.7286,0.4537,6.0345,1.1000,0.5250,0.5750,0.0000,0.0000,0.0000,0.0000,0.7279,0.0000,0.0252,0.2516,0.0000,0.0000,0.0000,0.0000,0.4190,0.0000,0.0000,0.0000,0.0000
2.0718,0.4587,7.1180,1.3024,0.8007,0.5017,0.0000,0.0000,0.0000,0.0000,0.8618,0.0000,0.0301,0.3003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.2302,0.4606,7.6178,1.3958,0.9279,0.4678,0.0000,0.0000,0.0000,0.0000,0.9236,0.0000,0.0324,0.3227,0.0000,0.0000,0.0000,0.0000,4.4318,0.0000,0.0000,0.0000,0.0000
2.2302,0.4606,7.6178,1.3958,0.9279,0.4678,0.0000,0.0000,0.0000,0.0000,0.9236,0.0000,0.0324,0.3227,0.0000,0.0000,0.0000,0.0000,0.4190,0.0000,0.0000,0.0000,0.0000
1.1203,0.3956,2.7840,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.4729,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1608
1.7286,0.4537,6.0345,1.1000,0.5250,0.5750,0.0000,0.0000,0.0000,0.0000,0.7279,0.0000,0.0252,0.2516,0.0000,0.0000,0.0000,0.0000,9.0466,0.0000,0.0000,0.0000,0.0000
2.0718,0.4587,7.1180,1.3024,0.8007,0.5017,0.0000,0.0000,0.0000,0.0000,0.8618,0.0000,0.0301,0.3003,0.0000,0.0000,0.0000,0.0000,4.0639,0.0000,0.0000,0.0000,0.0000
2.2434,0.4607,7.6598,1.4036,0.9386,0.4650,0.0000,0.0000,0.0000,0.0000,0.9287,0.0000,0.0326,0.3246,0.0000,0.0000,0.0000,0.0000,4.0639,0.0000,0.0000,0.0000,0.0000
2.3464,0.4618,7.9848,1.4643,1.0213,0.4430,0.0000,0.0000,0.0000,0.0000,0.9689,0.0000,0.0340,0.3392,0.0000,0.0000,0.0000,0.0000,0.4190,0.0000,0.0000,0.0000,0.0000
1.1203,0.3956,2.7840,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.4729,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.0220,0.0000,0.0000,0.0000,0.1608
1.7286,0.4537,6.0345,1.1000,0.5250,0.5750,0.0000,0.0000,0.0000,0.0000,0.7279,0.0000,0.0252,0.2516,0.0000,0.0000,0.0000,0.0000,5.7524,0.0000,0.0000,0.0000,0.0000
2.0718,0.4587,7.1180,1.3024,0.8007,0.5017,0.0000,0.0000,0.0000,0.0000,0.8618,0.0000,0.0301,0.3003,0.0000,0.0000,0.0000,0.0000,3.0220,0.0000,0.0000,0.0000,0.0000
2.2434,0.4607,7.6598,1.4036,0.9386,0.4650,0.0000,0.0000,0.0000,0.0000,0.9287,0.0000,0.0326,0.3246,0.0000,0.0000,0.0000,0.0000,9.0466,0.0000,0.0000,0.0000,0.0000
2.3464,0.4618,7.9848,1.4643,1.0213,0.4430,0.0000,0.0000,0.0000,0.0000,0.9689,0.0000,0.0340,0.3392,0.0000,0.0000,0.0000,0.0000,4.4318,0.0000,0.0000,0.0000,0.0000
1.1203,0.3956,2.7840,0.7147,0.0000,0.7147,0.0000,0.0000,0.0000,0.0000,0.4729,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4190,0.0000,0.0000,0.0000,0.1608
1.7286,0.4537,6.0345,1.1000,0.5250,0.5750,0.0000,0.0000,0.0000,0.0000,0.7279,0.0000,0.0252,0.2516,0.0000,0.0000,0.0000,0.0000,0.4190,0.0000,0.0000,0.0000,0.0000
2.0718,0.4587,7.1180,1.3024,0.8007,0.5017,0.0000,0.0000,0.0000,0.0000,0.8618,0.0000,0.0301,0.3003,0.0000,0.0000,0.0000,0.0000,4.4318,0.0000,0.0000,0.0000,0.0000
2.2434,0.4607,7.6598,1.4036,0.9386,0.4650,0.0000,0.0000,0.0000,0.0000,0.9287,0.0000,0.0326,0.3246,0.0000,0.0000,0.0000,0.0000,4.4318,0.0000,0.0000,0.0000,0.0000
2.3464,0.4618,7.9848,1.4643,1.0213,0.4430,0.0000,0.0000,0.0000,0.0000,0.9689,0.0000,0.0340,0.3392,0.0000,0.0000,0.0000,0.0000,0.4190,0.0000,0.0000,0.0000,0.0000
